ID_CONTA,GASTOS DE CRÉDITO,VALOR,Descrição,Pagamento Antecipado,Divida,TOTAL
17,SUPERMERC FORMOSA 2X2 (ULTIMA),"R$ 94,95",Blusa Social (DESCONTADO DO MIMO),"R$ 17,57","R$ 454,94","R$ 437,37"
,TATIANA COELHO,"R$ 110,68",Roupas Novas 1x4,,,
,MOOZ SOLUÇÕES 2X3,"R$ 86,47",Presente Perfume Mãe,,,
,UBER,"R$ 4,55",Taxa de Cancelamento do Uber,,,
,UBER,"R$ 40,36",Casa - Cesupa (Dia da Defesa do TCC),,,
,RANY KELLI,"R$ 35,46",Sem informações,,,
,UBER,"R$ 13,57",Casa - Para Igreja (Confra dos Jovens),,,
,UBER,"R$ 27,88",Igreja - Casa (Confra dos Jovens),,,
,UBER,"R$ 13,15",Igreja - Casa (Ensaio),,,
,UBER,"R$ 9,92",Igreja - Casa,,,
,GOOGLE ONE,"R$ 7,99",Drive,,,
,UBER,"R$ 9,96",Igreja - Casa (Ensaio),,,
18,TATIANA COELHO,"R$ 221,36","Roupas Novas 3x4 
(Duas Parcelas serão pagas)","R$ 212,81","R$ 674,07","R$ 461,26"
,MOOZ SOLUÇÕES 3X3,"R$ 86,47",Presente Perfume Mãe,,,
,NATURA PAGAMENTOS,"R$ 54,94",Kaike perfume,,,
,D.LOCAL,"R$ 46,17",Sem informações,,,
,LIVRARIA LEITURA,"R$ 94,80",Compra de Livros (PENDENTE MÃE E PAI),,,
,GOOGLE ONE,"R$ 7,99",Google Drive Memória,,,
,UBER,"R$ 5,01",,,,
,UBER,"R$ 9,97",,,,
,SUPERMERC FORMOSA  1X6 (PAI),"R$ 100,00",Cadeira do Pai,,,
,SPOTIFY,"R$ 11,90",Plano Mensal,,,
,AMAZON SERVIÇOS DE VAREJO DO BRASIL,"R$ 35,46",Livro de presente da Raquel,,,
19,TATIANA COELHO,"R$ 110,68",Roupas Novas 4x4,"R$ 0,00","R$ 110,68","R$ 110,68"